segment,level,n_loans,actual_default_rate,predicted_default_rate,gap_pp,actual_to_predicted,segment_auc,est_dollar_impact,flagged,valid_gap_pp,valid_actual_to_predicted,already_flagged_in_2013,same_direction_in_2013
home_ownership,RENT,191147,0.171668925,0.1465721029,2.5096822038,1.1712250936,0.6582992333,21893284.208268,True,1.0748305689,1.0785591939,False,True
verification_status,Verified,122991,0.1779154572,0.1530158504,2.4899606839,1.1627256704,0.6605025747,17761824.71344061,True,0.0983579441,1.0077263848,False,True
credit_history,5–10 yrs,68020,0.1689503087,0.141327429,2.7622879688,1.1954530686,0.6561392722,7893316.912226395,True,1.0457755702,1.0770235822,False,True
dti_band,30+,41753,0.2064761814,0.1683176629,3.8158518441,1.2267053723,0.6315169981,7189721.572267347,True,0.9651594352,1.0626498741,False,True
dti_band,25–30,56610,0.1797915563,0.1572427667,2.2548789604,1.1434011248,0.6517022965,6576530.8746105395,True,1.1350138331,1.0754691129,False,True
income_quintile,Q1 (< $37k),73750,0.1996067797,0.1774324271,2.2174352551,1.1249735063,0.6233427726,4729583.222446746,True,1.9763424933,1.1210325735,False,True
emp_length,missing,28565,0.2110274812,0.181963556,2.9063925215,1.1597238802,0.628716402,3448798.51159821,True,1.1303634112,1.0672532143,False,True
credit_history,< 5 yrs,12480,0.1922275641,0.1645159368,2.7711627285,1.1684434215,0.6248436435,1209026.050231182,True,1.4775565422,1.0936653923,False,True
purpose,major_purchase,8228,0.1412250851,0.1072402848,3.3984800255,1.316903301,0.6655453645,1153688.1435230887,True,1.3926674795,1.1521412342,False,True
fico_band,780+,10375,0.0417349398,0.030050941,1.1683998808,1.3888064213,0.7031835454,734661.6959506051,True,0.3221858203,1.1054931825,False,True
purpose,moving,3194,0.2066374452,0.159489701,4.7147744206,1.2956162304,0.6542865514,404804.5777118006,True,0.0752500196,1.0048085748,False,True
purpose,house,1515,0.2092409241,0.1619976196,4.7243304528,1.2916296218,0.6620313562,338167.9618265936,True,,,False,False
purpose,medical,5029,0.1753827799,0.1548636149,2.0519164992,1.1324982954,0.6516750901,304376.5626236685,True,1.582033971,1.1067195707,False,True
purpose,debt_consolidation,255663,0.1522238259,0.1411010143,1.1122811617,1.0788287148,0.6648793887,15236218.535715824,False,-0.4592110713,0.9647462396,False,False
income_quintile,Q5 (> $89k),112686,0.1059137781,0.0930333583,1.2880419805,1.138449477,0.6830861662,11126954.943026531,False,-0.2957847133,0.9646359138,False,False
credit_history,10–15 yrs,144202,0.1526192425,0.1373288051,1.5290437343,1.1113418072,0.6689608079,10950264.27192996,False,-0.0004823589,0.9999620311,False,False
loan_amount_quintile,Q5 (> $15k),127661,0.1331651797,0.1245289514,0.8636228262,1.0693511683,0.6903430546,10512715.543449597,False,-0.5885975132,0.9482831162,False,False
verification_status,Source Verified,179903,0.1460842788,0.1355644857,1.0519793022,1.0775999183,0.657894305,10451811.98075256,False,-0.1509301297,0.9875982273,False,False
fico_band,680–699,119656,0.152119409,0.1354792055,1.6640203516,1.1228247793,0.6394783495,10359678.500629647,False,0.6583674372,1.0513562863,False,True
emp_length,1–3 yrs,106509,0.1462599405,0.1306926752,1.5567265315,1.1191135257,0.6697243624,8285737.496404494,False,0.3623434383,1.0299027449,False,True
purpose,credit_card,110692,0.1198641275,0.1087402858,1.1123841651,1.1022973369,0.680744447,6990730.404615665,False,0.3679863208,1.0355462654,False,True
fico_band,660–679,169613,0.1864774516,0.1775748644,0.8902587213,1.0501342757,0.626290879,6688958.386351513,False,-0.8377273066,0.9501292212,False,False
dti_band,20–25,78507,0.1581132893,0.1425956733,1.5517615944,1.108822488,0.6527231376,6442638.550995817,False,0.4804304001,1.035067762,False,True
fico_band,700–719,76656,0.1155421624,0.1031643447,1.2377817724,1.1199815475,0.6482587571,5531113.903189419,False,0.1915379158,1.0194655503,False,True
income_quintile,Q4 ($65k–$89k),86162,0.1289083355,0.1190846382,0.9823697307,1.0824934052,0.6691044544,4872008.992945226,False,-0.7170395532,0.9338614155,False,False
emp_length,4–6 yrs,71797,0.1441285848,0.1312075902,1.2920994514,1.0984774927,0.6693700424,4769813.681248873,False,0.064195153,1.0051859608,False,True
credit_history,15–20 yrs,103100,0.1361784675,0.1282452225,0.7933244995,1.0618599651,0.666380326,4519161.700342249,False,-0.3400187831,0.9706814981,False,False
loan_amount_quintile,Q3 ($8k–$11k),79651,0.1543357899,0.1404459824,1.3889807525,1.098897863,0.664547262,4370917.067466435,False,0.2706218153,1.0203626649,False,True
loan_amount_quintile,Q2 ($5k–$8k),87101,0.1520648443,0.135470705,1.659413925,1.1224924551,0.6554445607,4005983.1868863855,False,0.5698911434,1.0454275886,False,True
loan_amount_quintile,Q4 ($11k–$15k),80137,0.1421565569,0.1333333922,0.8823164719,1.0661737062,0.6797935956,3867914.2606859454,False,-0.3043635153,0.9750420149,False,False
dti_band,15–20,95593,0.1379180484,0.1310568094,0.6861238971,1.0523531665,0.6653469762,3517422.115832907,False,0.060263295,1.0048314264,False,True
emp_length,< 1 yr,37103,0.1508503356,0.1321280377,1.8722297884,1.1416981453,0.6684578408,3457836.6517816554,False,0.4862164797,1.0395070557,False,True
emp_length,7–9 yrs,60652,0.143160984,0.1326583797,1.0502604278,1.0791703042,0.6659408377,3331288.3109077937,False,-0.0694283303,0.9944180676,False,False
home_ownership,OWN,48274,0.1534987778,0.1415537451,1.1945032725,1.0843851409,0.6550266471,2916885.376226912,False,-0.4156519402,0.9687940085,False,False
income_quintile,Q3 ($50k–$65k),85431,0.1458252859,0.1391569257,0.6668360163,1.0479197146,0.6565717605,2685446.5939249694,False,-0.5355204719,0.9583326959,False,False
income_quintile,Q2 ($37k–$50k),87328,0.1624106816,0.1550126205,0.7398061094,1.0477255405,0.6454537824,2524356.083105129,False,-0.0047212041,0.999677771,False,False
emp_length,10+ yrs,140731,0.1291115675,0.1262595835,0.285198392,1.022588257,0.669232705,2247384.592816122,False,-0.5514445051,0.9528462893,False,False
fico_band,740–759,19079,0.0701818754,0.0568973145,1.3284560833,1.2334830904,0.6796424244,1609184.9774877632,False,0.6246093086,1.1135266698,False,True
fico_band,720–739,39388,0.0857113842,0.0798832701,0.5828114059,1.0729578803,0.6690007277,1425604.9496256302,False,0.0150197507,1.0019691882,False,True
dti_band,< 10,81428,0.1114235889,0.1081192083,0.3304380634,1.0305623828,0.6717893515,1361145.4016110585,False,-0.7790771425,0.9226701759,False,False
home_ownership,MORTGAGE,205934,0.1174162596,0.1185072925,-0.1091032882,0.990793538,0.6699484965,-1303066.1962760892,False,-0.8184216332,0.9258038768,False,True
loan_amount_quintile,Q1 (< $5k),70807,0.1479232279,0.1367986388,1.1124589112,1.081320905,0.6403940911,1182071.960720267,False,0.5296246203,1.0415030988,False,True
verification_status,Not Verified,142463,0.1140015302,0.112639748,0.1361782229,1.012089713,0.6709689348,817662.4525657637,False,-0.0227532639,0.9981015749,False,False
purpose,home_improvement,25799,0.1296561882,0.1236023201,0.6053868081,1.0489785958,0.6616912331,763066.76846587,False,0.1507677164,1.0136036158,False,True
dti_band,10–15,91466,0.1195526206,0.1180651078,0.1487512873,1.0125990896,0.6729743229,729276.5547274512,False,-0.5089593665,0.9542415792,False,False
fico_band,760–779,10590,0.0536355052,0.0446827802,0.8952725008,1.2003618614,0.7014112966,584050.9720695198,False,-0.2092500174,0.9538547086,False,False
credit_history,20+ yrs,117555,0.1230487857,0.1238875857,-0.0838800044,0.9932293455,0.6770357173,-583981.2951318716,False,-0.6903527279,0.9375944877,False,True
purpose,other,23462,0.1629017134,0.1568221411,0.6079572324,1.0387673085,0.6401196285,476300.6271701656,False,1.8372445028,1.1212450518,False,True
