variable,period,n_loans,psi,status
fico_mid,valid 2013,100422,0.1388353675,monitor
fico_mid,2014Q1,34074,0.2169630167,monitor
fico_mid,2014Q2,37881,0.1848916457,monitor
fico_mid,2014Q3,40595,0.165430223,monitor
fico_mid,2014Q4,50020,0.25087016,action
fico_mid,2015Q1,56568,0.2271167775,monitor
fico_mid,2015Q2,64222,0.1941150867,monitor
fico_mid,2015Q3,73567,0.151963462,monitor
fico_mid,2015Q4,88430,0.1495497905,monitor
log_annual_inc,valid 2013,100422,0.0178736219,stable
log_annual_inc,2014Q1,34074,0.0318716871,stable
log_annual_inc,2014Q2,37881,0.0178940315,stable
log_annual_inc,2014Q3,40595,0.0248064712,stable
log_annual_inc,2014Q4,50020,0.0098745125,stable
log_annual_inc,2015Q1,56568,0.0173698932,stable
log_annual_inc,2015Q2,64222,0.0182102121,stable
log_annual_inc,2015Q3,73567,0.0298349602,stable
log_annual_inc,2015Q4,88430,0.0404453795,stable
loan_to_income,valid 2013,100422,0.0365425546,stable
loan_to_income,2014Q1,34074,0.0354219238,stable
loan_to_income,2014Q2,37881,0.0107854839,stable
loan_to_income,2014Q3,40595,0.0087629735,stable
loan_to_income,2014Q4,50020,0.0135389784,stable
loan_to_income,2015Q1,56568,0.0254670804,stable
loan_to_income,2015Q2,64222,0.0150320762,stable
loan_to_income,2015Q3,73567,0.0136822826,stable
loan_to_income,2015Q4,88430,0.0033559541,stable
purpose,valid 2013,100422,0.1196231812,monitor
purpose,2014Q1,34074,0.2264158555,monitor
purpose,2014Q2,37881,0.1792568416,monitor
purpose,2014Q3,40595,0.1718783637,monitor
purpose,2014Q4,50020,0.174435918,monitor
purpose,2015Q1,56568,0.1927015403,monitor
purpose,2015Q2,64222,0.1816741095,monitor
purpose,2015Q3,73567,0.1830796298,monitor
purpose,2015Q4,88430,0.1730826239,monitor
acc_open_past_24mths,valid 2013,100422,3.8708141346,action
acc_open_past_24mths,2014Q1,34074,3.8868714371,action
acc_open_past_24mths,2014Q2,37881,3.8936614433,action
acc_open_past_24mths,2014Q3,40595,3.8994121794,action
acc_open_past_24mths,2014Q4,50020,3.9047647598,action
acc_open_past_24mths,2015Q1,56568,3.9055863504,action
acc_open_past_24mths,2015Q2,64222,3.9239446191,action
acc_open_past_24mths,2015Q3,73567,3.9157701332,action
acc_open_past_24mths,2015Q4,88430,3.912819829,action
revol_util,valid 2013,100422,0.065029204,stable
revol_util,2014Q1,34074,0.0857911152,stable
revol_util,2014Q2,37881,0.0699927831,stable
revol_util,2014Q3,40595,0.0634019329,stable
revol_util,2014Q4,50020,0.0588695294,stable
revol_util,2015Q1,56568,0.0553531562,stable
revol_util,2015Q2,64222,0.0545716541,stable
revol_util,2015Q3,73567,0.0611044548,stable
revol_util,2015Q4,88430,0.0677164715,stable
bc_util,valid 2013,100422,1.9649955393,action
bc_util,2014Q1,34074,1.9137433739,action
bc_util,2014Q2,37881,1.8565241468,action
bc_util,2014Q3,40595,1.8391842309,action
bc_util,2014Q4,50020,1.7316070033,action
bc_util,2015Q1,56568,1.8376211407,action
bc_util,2015Q2,64222,1.8732151149,action
bc_util,2015Q3,73567,1.9120109584,action
bc_util,2015Q4,88430,1.8791100195,action
revol_bal_to_income,valid 2013,100422,0.0483813905,stable
revol_bal_to_income,2014Q1,34074,0.0435245933,stable
revol_bal_to_income,2014Q2,37881,0.0241852392,stable
revol_bal_to_income,2014Q3,40595,0.0210765568,stable
revol_bal_to_income,2014Q4,50020,0.0217007618,stable
revol_bal_to_income,2015Q1,56568,0.0245944269,stable
revol_bal_to_income,2015Q2,64222,0.01474635,stable
revol_bal_to_income,2015Q3,73567,0.0162569565,stable
revol_bal_to_income,2015Q4,88430,0.0155588649,stable
inq_last_6mths,valid 2013,100422,0.0026310769,stable
inq_last_6mths,2014Q1,34074,0.0007930653,stable
inq_last_6mths,2014Q2,37881,0.0006893427,stable
inq_last_6mths,2014Q3,40595,0.0018600569,stable
inq_last_6mths,2014Q4,50020,0.0512690477,stable
inq_last_6mths,2015Q1,56568,0.0565306413,stable
inq_last_6mths,2015Q2,64222,0.0618940678,stable
inq_last_6mths,2015Q3,73567,0.0722698297,stable
inq_last_6mths,2015Q4,88430,0.0602753734,stable
revol_bal,valid 2013,100422,0.0803173885,stable
revol_bal,2014Q1,34074,0.0617160256,stable
revol_bal,2014Q2,37881,0.0281511454,stable
revol_bal,2014Q3,40595,0.0337363371,stable
revol_bal,2014Q4,50020,0.0460121889,stable
revol_bal,2015Q1,56568,0.0492644404,stable
revol_bal,2015Q2,64222,0.0355960617,stable
revol_bal,2015Q3,73567,0.038106937,stable
revol_bal,2015Q4,88430,0.0352323024,stable
credit_hist_months,valid 2013,100422,0.0591743484,stable
credit_hist_months,2014Q1,34074,0.1484914182,monitor
credit_hist_months,2014Q2,37881,0.1117376584,monitor
credit_hist_months,2014Q3,40595,0.1043707743,monitor
credit_hist_months,2014Q4,50020,0.1132320585,monitor
credit_hist_months,2015Q1,56568,0.1243249038,monitor
credit_hist_months,2015Q2,64222,0.1057017998,monitor
credit_hist_months,2015Q3,73567,0.1313103861,monitor
credit_hist_months,2015Q4,88430,0.14078905,monitor
loan_amnt,valid 2013,100422,0.0759546843,stable
loan_amnt,2014Q1,34074,0.0986837803,stable
loan_amnt,2014Q2,37881,0.0479399971,stable
loan_amnt,2014Q3,40595,0.0521074849,stable
loan_amnt,2014Q4,50020,0.0515910522,stable
loan_amnt,2015Q1,56568,0.0766257413,stable
loan_amnt,2015Q2,64222,0.0632974139,stable
loan_amnt,2015Q3,73567,0.0767696978,stable
loan_amnt,2015Q4,88430,0.0644199426,stable
open_to_total_acc,valid 2013,100422,0.0060860172,stable
open_to_total_acc,2014Q1,34074,0.0082961795,stable
open_to_total_acc,2014Q2,37881,0.0027138989,stable
open_to_total_acc,2014Q3,40595,0.0043946776,stable
open_to_total_acc,2014Q4,50020,0.0030133433,stable
open_to_total_acc,2015Q1,56568,0.0077719069,stable
open_to_total_acc,2015Q2,64222,0.0155576505,stable
open_to_total_acc,2015Q3,73567,0.0171212042,stable
open_to_total_acc,2015Q4,88430,0.0202007329,stable
emp_length_years,valid 2013,100422,0.045058534,stable
emp_length_years,2014Q1,34074,0.0641270121,stable
emp_length_years,2014Q2,37881,0.0458404713,stable
emp_length_years,2014Q3,40595,0.0420226365,stable
emp_length_years,2014Q4,50020,0.0603824322,stable
emp_length_years,2015Q1,56568,0.059175498,stable
emp_length_years,2015Q2,64222,0.0543234783,stable
emp_length_years,2015Q3,73567,0.0678289296,stable
emp_length_years,2015Q4,88430,0.080163612,stable
total_acc,valid 2013,100422,0.033137898,stable
total_acc,2014Q1,34074,0.080670615,stable
total_acc,2014Q2,37881,0.0578232479,stable
total_acc,2014Q3,40595,0.0708957107,stable
total_acc,2014Q4,50020,0.0407843429,stable
total_acc,2015Q1,56568,0.0389045475,stable
total_acc,2015Q2,64222,0.0330161128,stable
total_acc,2015Q3,73567,0.0314097359,stable
total_acc,2015Q4,88430,0.0254714235,stable
