number,valid_auc,user_attrs_best_iteration,params_bagging_fraction,params_feature_fraction,params_lambda_l2,params_learning_rate,params_min_child_samples,params_num_leaves
0,0.6653375939,216,0.5780093202,0.7591950905,0.004207054,0.0236886395,447,112
1,0.6655421674,416,0.5102922471,0.8248435467,7.5794799533,0.0114309839,302,88
2,0.6655459717,115,0.6521211215,0.5100427059,0.125610437,0.0679896242,86,14
3,0.6676690794,486,0.6460723243,0.4836963164,0.0292043385,0.0270361607,311,17
4,0.6632521966,126,0.7962072844,0.708540663,0.0015339163,0.0285805107,90,70
5,0.6643549461,374,0.9828160165,0.9693313224,1.7123375973,0.0405083778,60,12
6,0.6671908633,560,0.5610191174,0.6640914962,0.0956549922,0.0201657217,387,10
7,0.6637763005,336,0.655855538,0.7975133706,0.1203017887,0.0108240184,108,99
8,0.6662123034,340,0.9697494708,0.865079694,3.7958531427,0.0352135881,913,13
9,0.6614979482,60,0.5226136445,0.5175897175,0.0200134206,0.0396186779,65,103
10,0.6637659363,53,0.7989405334,0.4107771254,0.5767509178,0.0881325922,180,28
11,0.6683535949,1102,0.6588870851,0.5867127834,0.0198516863,0.0181344536,522,8
12,0.6676283172,422,0.693029696,0.5909717501,0.0191306884,0.0167198986,727,23
13,0.6676868063,1247,0.7343526094,0.4145612302,0.0125296775,0.0156532965,182,8
14,0.6675518322,1526,0.8694284545,0.4070699253,0.0041988965,0.0158083868,187,8
15,0.6664761763,391,0.7485426968,0.6034084867,0.0064332798,0.015027044,573,40
16,0.6673296115,1255,0.7185921052,0.5940407427,0.00139621,0.0136622581,230,8
17,0.6656957127,318,0.8308851073,0.4704885245,0.0329293063,0.0205240276,139,45
18,0.6667021793,838,0.898250953,0.6646930617,0.3710634896,0.010256264,638,19
19,0.6668300935,256,0.593552493,0.5349496112,0.0088741365,0.0526820573,239,10
20,0.6668424241,526,0.7519164696,0.4446954281,0.0601585302,0.0204033171,138,17
21,0.6676796922,580,0.6283534695,0.4815134683,0.0125891518,0.0270235215,350,8
22,0.6677038717,713,0.622375267,0.5861454098,0.0121682316,0.0249529316,442,8
23,0.667488689,631,0.6897302811,0.5640411943,0.0042245422,0.0178343978,509,10
24,0.6681771071,853,0.6172263144,0.6469734776,0.0412559507,0.0142841586,990,12
25,0.6682670128,840,0.6130549892,0.6541783161,0.0491401902,0.0135758466,989,13
26,0.6674826861,580,0.5481046502,0.6543718342,0.2444436164,0.0126903263,982,23
27,0.6679036912,995,0.5976553239,0.7327272885,0.0605924029,0.0126591607,793,11
28,0.6676206865,422,0.6870913145,0.6295709535,0.0529562215,0.0194076845,687,15
29,0.6672726437,428,0.5821718263,0.7465548799,0.8946229321,0.0221724403,877,22
30,0.666749083,447,0.5385577514,0.7950057931,0.2184698493,0.0137160801,509,33
31,0.66795429,1186,0.5944347015,0.7310107769,0.0563195829,0.0123730252,781,11
32,0.6681228031,1048,0.5027442399,0.6942972767,0.0319516258,0.0119599393,981,12
33,0.6678754514,972,0.5104964083,0.6868373077,0.0303197723,0.011289563,999,14
34,0.6680628898,969,0.6208017904,0.638831342,0.169851977,0.0100516903,597,18
35,0.6676419975,581,0.6591241913,0.6997770121,0.0030937637,0.0144006778,819,15
36,0.6680463731,827,0.5027034219,0.550334908,0.0215546768,0.0171175102,460,12
37,0.6664073982,423,0.5617394185,0.6216346749,0.0411419041,0.0120422117,685,73
38,0.6666783375,422,0.6687762787,0.7833016888,0.092592845,0.0315961184,553,9
39,0.6675156304,715,0.6373956266,0.8640574619,0.1044329665,0.0184300825,373,13
