feature,bin,n,share,bad_rate,woe,iv,coefficient,points
fico_mid,<= 672,10596,0.1604555022,0.2014911287,-0.5700365406,0.1885134413,-0.738338959,48.2377970531
fico_mid,"(672, 677]",4316,0.0653572997,0.1524559778,-0.232018207,0.1885134413,-0.738338959,55.4389258046
fico_mid,"(677, 687]",8792,0.1331374835,0.1511601456,-0.2216406507,0.1885134413,-0.738338959,55.6600088385
fico_mid,"(687, 692]",4353,0.0659175917,0.1373765219,-0.110312006,0.1885134413,-0.738338959,58.031749732
fico_mid,"(692, 702]",7882,0.11935733,0.1249682822,-0.0010970126,0.1885134413,-0.738338959,60.3584614832
fico_mid,"(702, 712]",6300,0.095401063,0.1141269841,0.101794118,0.1885134413,-0.738338959,62.5504499212
fico_mid,"(712, 722]",5454,0.0825900631,0.0975430876,0.2771267208,0.1885134413,-0.738338959,66.2857285192
fico_mid,"(722, 737]",6286,0.0951890607,0.0919503659,0.3424108324,0.1885134413,-0.738338959,67.6765385612
fico_mid,"(737, 757]",5749,0.0870572558,0.070273091,0.6344964358,0.1885134413,-0.738338959,73.8991183095
fico_mid,> 757,6309,0.0955373503,0.0485021398,1.028017964,0.1885134413,-0.738338959,82.2826848476
log_annual_inc,<= 10.3,7453,0.1128609719,0.1699986583,-0.3615391499,0.083010396,-0.7803097234,52.241785694
log_annual_inc,"(10.3, 10.5]",5786,0.0876175477,0.1664362254,-0.3361795954,0.083010396,-0.7803097234,52.8127555418
log_annual_inc,"(10.5, 10.7]",6821,0.1032905795,0.1537897669,-0.2420707902,0.083010396,-0.7803097234,54.9316133495
log_annual_inc,"(10.7, 10.8]",7384,0.1118161031,0.1351570964,-0.0911746785,0.083010396,-0.7803097234,58.3290361901
log_annual_inc,"(10.8, 11]",5645,0.0854823811,0.1284322409,-0.0325578341,0.083010396,-0.7803097234,59.6487932321
log_annual_inc,"(11, 11.1]",7453,0.1128609719,0.119683349,0.0480858086,0.083010396,-0.7803097234,61.4644831828
log_annual_inc,"(11.1, 11.2]",6616,0.1001862592,0.1101874244,0.1413651782,0.083010396,-0.7803097234,63.5646662666
log_annual_inc,"(11.2, 11.4]",5671,0.0858760998,0.0969846588,0.2835134956,0.083010396,-0.7803097234,66.7651326989
log_annual_inc,"(11.4, 11.6]",6604,0.1000045429,0.0850999394,0.4273197864,0.083010396,-0.7803097234,70.0029283688
log_annual_inc,> 11.6,6604,0.1000045429,0.0770745003,0.5350140282,0.083010396,-0.7803097234,72.4276620019
revol_util,<= 15.6,6636,0.1004891197,0.0780590717,0.5213219884,0.0616370213,-0.4397803393,66.9970841188
revol_util,"(15.6, 29.3]",6570,0.09948968,0.0907153729,0.3573662184,0.0616370213,-0.4397803393,64.9165873299
revol_util,"(29.3, 40.2]",6645,0.100625407,0.1079006772,0.1649433299,0.0616370213,-0.4397803393,62.4748605057
revol_util,"(40.2, 49.1]",6614,0.1001559732,0.1167221046,0.0764718263,0.0616370213,-0.4397803393,61.3522121281
revol_util,"(49.1, 57]",6547,0.0991413904,0.1214296624,0.0316087428,0.0616370213,-0.4397803393,60.78292749
revol_util,"(57, 64.3]",6615,0.1001711162,0.1310657596,-0.055731513,0.0616370213,-0.4397803393,59.6746339445
revol_util,"(64.3, 71.6]",6586,0.0997319684,0.1378682053,-0.1141627268,0.0616370213,-0.4397803393,58.9331781675
