feature,iv,selected,drop_reason
fico_mid,0.1885134413,True,
log_annual_inc,0.083010396,True,
revol_util,0.0616370213,True,
acc_open_past_24mths,0.0494263506,True,
loan_to_income,0.0456111522,True,
bc_util,0.0453635754,True,
percent_bc_gt_75,0.0431726797,False,|corr| 0.84 with bc_util (higher IV)
purpose,0.0421194651,True,
inq_last_6mths,0.0343254172,True,
mort_acc,0.0329651816,False,wrong sign in multivariate fit
dti,0.030487818,False,wrong sign in multivariate fit
home_ownership,0.0210174207,True,
open_to_total_acc,0.0186625545,False,IV < 0.02
revol_bal_to_income,0.015209234,False,IV < 0.02
credit_hist_months,0.012987321,False,IV < 0.02
emp_length_years,0.0115117879,False,IV < 0.02
revol_bal,0.0106556945,False,IV < 0.02
total_acc,0.0100846,False,IV < 0.02
loan_amnt,0.0047255009,False,IV < 0.02
mths_since_last_delinq,0.0030972618,False,IV < 0.02
open_acc,0.0026033012,False,IV < 0.02
never_delinquent,0.0024331826,False,IV < 0.02
verification_status,0.0023764705,False,IV < 0.02
delinq_2yrs,0.0020691448,False,IV < 0.02
no_public_record,0.0,False,IV < 0.02
pub_rec_bankruptcies,0.0,False,IV < 0.02
emp_length_missing,0.0,False,IV < 0.02
mths_since_last_record,0.0,False,IV < 0.02
pub_rec,0.0,False,IV < 0.02
collections_12_mths_ex_med,0.0,False,IV < 0.02
