feature,mean_abs_shap,name
fico_mid,0.3405743053,FICO score
acc_open_past_24mths,0.2010303311,Accounts opened in last 24 months
log_annual_inc,0.1812186227,Annual income
loan_to_income,0.1548089855,Loan amount relative to income
inq_last_6mths,0.11577174,Credit inquiries in last 6 months
revol_util,0.1152215866,Revolving credit utilization
purpose,0.0964152312,Loan purpose
revol_bal_to_income,0.0795078333,Revolving balance relative to income
bc_util,0.0708114702,Bankcard utilization
loan_amnt,0.0530428466,Loan amount
revol_bal,0.0489945418,Revolving balance
open_to_total_acc,0.0474262476,Share of credit lines open
credit_hist_months,0.0427897394,Length of credit history
emp_length_years,0.041669982,Years employed
dti,0.0411835889,Debt-to-income ratio
mths_since_last_delinq,0.0385113453,Months since last delinquency
percent_bc_gt_75,0.0375389294,Share of bankcards above 75% utilization
home_ownership,0.0322081619,Home ownership
mort_acc,0.0303421397,Mortgage accounts
total_acc,0.0296929359,Total credit lines
verification_status,0.0286011796,Income verification
open_acc,0.0210888118,Open credit lines
never_delinquent,0.0163825702,No delinquency on file
mths_since_last_record,0.0121411187,Months since last public record
emp_length_missing,0.0099326568,Employment length not given
pub_rec,0.0072960655,Public records
delinq_2yrs,0.006141007,Delinquencies in last 2 years
no_public_record,0.0017405261,No public record on file
pub_rec_bankruptcies,0.0008827049,Bankruptcies on file
collections_12_mths_ex_med,0.0,Collections in last 12 months
