feature,auc,direction,missing_rate,role
int_rate,0.6309359833338501,higher = riskier,0.0,LC pricing (benchmark only)
fico_mid,0.6196852871052037,higher = safer,0.0,model feature
log_annual_inc,0.581568531243444,higher = safer,0.0,model feature
revol_util,0.5678585232578924,higher = riskier,0.000999439708042461,model feature
loan_to_income,0.5593422447577696,higher = riskier,0.0,model feature
acc_open_past_24mths,0.553893985631414,higher = riskier,0.4329693959446977,model feature
purpose,0.5513164788218837,higher = riskier,0.0,model feature
dti,0.549842499086968,higher = riskier,0.0,model feature
bc_util,0.549482378143689,higher = riskier,0.4397534715386829,model feature
percent_bc_gt_75,0.5493914160069333,higher = riskier,0.43940518194345596,model feature
inq_last_6mths,0.5488958955246028,higher = riskier,0.0,model feature
open_to_total_acc,0.537498903442243,higher = riskier,0.0,model feature
home_ownership,0.5360886529282136,higher = riskier,0.0,model feature
revol_bal_to_income,0.5341975772120434,higher = riskier,0.0,model feature
credit_hist_months,0.5305189381453943,higher = safer,0.0,model feature
total_acc,0.5276521694951832,higher = safer,0.0,model feature
mort_acc,0.5140637221098946,higher = riskier,0.4329693959446977,model feature
verification_status,0.5130931000602268,higher = riskier,0.0,model feature
revol_bal,0.5130411287425929,higher = safer,0.0,model feature
mths_since_last_delinq,0.5130395598327961,higher = safer,0.0,model feature
never_delinquent,0.5120477443828979,higher = safer,0.0,model feature
emp_length_years,0.5116539291340383,higher = safer,0.038432999681996455,model feature
emp_length_missing,0.5107527431490526,higher = riskier,0.0,model feature
delinq_2yrs,0.5077658726173864,higher = riskier,0.0,model feature
mths_since_last_record,0.5073307284015608,higher = safer,0.0,model feature
pub_rec,0.5073287900895913,higher = riskier,0.0,model feature
no_public_record,0.5073203893384723,higher = safer,0.0,model feature
loan_amnt,0.5063548119372279,higher = safer,0.0,model feature
pub_rec_bankruptcies,0.5055959738202329,higher = riskier,0.0,model feature
open_acc,0.5009998488977203,higher = safer,0.0,model feature
collections_12_mths_ex_med,0.5000691233321608,higher = safer,0.0,model feature
