vintage,mob,n_loans,cum_defaults,cum_default_rate
2010-01-01,0,1953,7.0,0.0035842294
2010-01-01,1,1953,9.0,0.0046082949
2010-01-01,2,1953,14.0,0.0071684588
2010-01-01,3,1953,18.0,0.0092165899
2010-01-01,4,1953,24.0,0.0122887865
2010-01-01,5,1953,35.0,0.017921147
2010-01-01,6,1953,40.0,0.0204813108
2010-01-01,7,1953,52.0,0.026625704
2010-01-01,8,1953,56.0,0.0286738351
2010-01-01,9,1953,66.0,0.0337941628
2010-01-01,10,1953,74.0,0.037890425
2010-01-01,11,1953,82.0,0.0419866871
2010-01-01,12,1953,85.0,0.0435227855
2010-01-01,13,1953,91.0,0.0465949821
2010-01-01,14,1953,95.0,0.0486431132
2010-01-01,15,1953,101.0,0.0517153098
2010-01-01,16,1953,106.0,0.0542754736
2010-01-01,17,1953,110.0,0.0563236047
2010-01-01,18,1953,118.0,0.0604198669
2010-01-01,19,1953,122.0,0.062467998
2010-01-01,20,1953,128.0,0.0655401946
2010-01-01,21,1953,135.0,0.069124424
2010-01-01,22,1953,141.0,0.0721966206
2010-01-01,23,1953,150.0,0.0768049155
2010-01-01,24,1953,155.0,0.0793650794
2010-01-01,25,1953,161.0,0.082437276
2010-01-01,26,1953,167.0,0.0855094726
2010-01-01,27,1953,168.0,0.0860215054
2010-01-01,28,1953,173.0,0.0885816692
2010-01-01,29,1953,177.0,0.0906298003
2010-01-01,30,1953,182.0,0.0931899642
2010-01-01,31,1953,186.0,0.0952380952
2010-01-01,32,1953,190.0,0.0972862263
2010-01-01,33,1953,193.0,0.0988223246
2010-01-01,34,1953,199.0,0.1018945212
2010-01-01,35,1953,200.0,0.102406554
2010-01-01,36,1953,203.0,0.1039426523
2010-01-01,37,1953,204.0,0.1044546851
2010-01-01,38,1953,205.0,0.1049667179
2010-01-01,39,1953,205.0,0.1049667179
2010-01-01,40,1953,206.0,0.1054787506
2010-01-01,41,1953,206.0,0.1054787506
2010-01-01,42,1953,206.0,0.1054787506
2010-01-01,43,1953,206.0,0.1054787506
2010-01-01,44,1953,207.0,0.1059907834
2010-01-01,45,1953,207.0,0.1059907834
2010-01-01,46,1953,207.0,0.1059907834
2010-01-01,47,1953,207.0,0.1059907834
2010-01-01,48,1953,207.0,0.1059907834
2010-01-01,49,1953,207.0,0.1059907834
2010-01-01,50,1953,207.0,0.1059907834
2010-01-01,51,1953,208.0,0.1065028162
2010-01-01,52,1953,208.0,0.1065028162
2010-01-01,53,1953,208.0,0.1065028162
2010-01-01,54,1953,208.0,0.1065028162
2010-01-01,55,1953,208.0,0.1065028162
