sub_grade,grade,n_loans,avg_int_rate,default_rate
A1,A,22858,5.708277627088802,0.027517718085571793
A2,A,22278,6.4165539994613905,0.041071909507137086
A3,A,23063,7.1310453973894425,0.048692711269132376
A4,A,33213,7.516859964471756,0.061933580224610846
A5,A,39951,8.269259843307967,0.07519211033516057
B1,B,38219,8.986575263612176,0.08684162327638086
B2,B,41994,10.034548268799835,0.0980854407772539
B3,B,45794,10.978967331965693,0.11123727999301218
B4,B,43299,11.824583477679148,0.12099586595533385
B5,B,40315,12.325153664888653,0.14056802678903635
C1,C,39673,12.960729715422682,0.15574824187734732
C2,C,36308,13.459132147186388,0.16869560427454006
C3,C,31860,14.044328625236192,0.1847143753923415
C4,C,27802,14.63622149485637,0.19818718077836128
C5,C,24385,15.302927209350159,0.2052901373795366
D1,D,21232,16.173211661642966,0.21750188394875658
D2,D,17524,16.995614585711643,0.23425017119379138
D3,D,14982,17.47955479909201,0.23101054598851956
D4,D,11995,18.04390496039994,0.24902042517715714
D5,D,9353,18.526918635732365,0.2536084678712712
E1,E,6654,18.922532311391787,0.27547339945897203
E2,E,5411,19.579205322491276,0.2846054333764554
E3,E,3933,20.129417747266835,0.2898550724637681
E4,E,2784,20.982676005747003,0.2959770114942529
E5,E,2277,21.942990777338444,0.30873956960913485
F1,F,1538,22.933842652795843,0.2958387516254877
F2,F,892,23.57461883408065,0.3273542600896861
F3,F,913,24.234096385542173,0.33515881708652795
F4,F,507,24.74879684418141,0.3510848126232742
F5,F,318,25.386823899371073,0.4528301886792453
G1,G,205,25.7421951219512,0.4
G2,G,151,26.033708609271518,0.3973509933774834
G3,G,72,26.26902777777777,0.4444444444444444
G4,G,45,26.263333333333335,0.3111111111111111
G5,G,18,25.553888888888892,0.5
